Company,Ticker,sentiment_vector,date,days_search_window
3i,III,0.07692255423619197,2024-09-30,30
Admiral Group,ADM,0.11498830318450928,2024-09-30,30
Airtel Africa,AAF,0.24903672188520432,2024-09-30,30
Anglo American plc,AAL,0.2633716000450982,2024-09-30,30
Antofagasta plc,ANTO,0.08024922013282776,2024-09-30,30
Ashtead Group,AHT,0.4094922867688266,2024-09-30,30
Associated British Foods,ABF,0.00015497207641601562,2024-09-30,30
AstraZeneca,AZN,0.0575127786397934,2024-09-30,30
Auto Trader Group,AUTO,0.16666664679845175,2024-09-30,30
Aviva,AV,0.13713905943764582,2024-09-30,30
B&M,BME,0.06160483777523041,2024-09-30,30
BAE Systems,BA,0.03179814087020026,2024-09-30,30
Barclays,BARC,0.0921260005235672,2024-09-30,30
Barratt Developments,BDEV,0.2174002707004547,2024-09-30,30
Beazley,BEZ,0.0,2024-09-30,30
Berkeley Group Holdings,BKG,-0.9555824398994446,2024-09-30,30
BP,BP,0.06029944896697998,2024-09-30,30
British American Tobacco,BATS,0.05220333369154679,2024-09-30,30
BT Group,BT-A,0.0,2024-09-30,30
Bunzl,BNZL,-0.1572589549151334,2024-09-30,30
Centrica,CNA,0.23058590292930603,2024-09-30,30
Coca-Cola HBC,CCH,0.0,2024-09-30,30
Compass Group,CPG,0.19737658500671387,2024-09-30,30
Convatec,CTEC,0.24999991059303284,2024-09-30,30
Croda International,CRDA,0.0,2024-09-30,30
Darktrace,DARK,0.0,2024-09-30,30
DCC plc,DCC,,2024-09-30,30
Diageo,DGE,0.11261373847278196,2024-09-30,30
Diploma,DPLM,0.03553070153220225,2024-09-30,30
Endeavour Mining,EDV,-0.3267769515514374,2024-09-30,30
Entain,ENT,0.3176772991816203,2024-09-30,30
EasyJet,EZJ,-0.021082599054683338,2024-09-30,30
Experian,EXPN,0.39149180568497755,2024-09-30,30
F & C Investment Trust,FCIT,0.02059053599834442,2024-09-30,30
Frasers Group,FRAS,0.0,2024-09-30,30
Fresnillo plc,FRES,,2024-09-30,30
Glencore,GLEN,0.1153676647406358,2024-09-30,30
